Name,StopID,CleverID,Zone_,Direction,Routes_Sor,Mode,Shelter_Pu,Latitude,Longitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
EAST BUSWAY AT PENN STATION A,P01600,5560,Free,Both,"1, 6, 11, 15, 39, 40, 44, P1, P2",Bus,No Shelter,40.443763,-79.992218,1,7.34992E-05,-79.99225647,40.44382563
EAST BUSWAY AT SWISSVALE STATION A,E17293,16063,1A,Both,"59, P1, P3, P71",Bus,Port Authority Station,40.415244,-79.878731,26,4.97112E-05,-79.8787131,40.41529038
LIBRARY STATION,X14447,99942,2,Both,BLUE LIBRARY,Rail,Port Authority Station,40.287075,-80.021582,33,0.000169391,-80.02154037,40.2872392
ALLEGHENY STATION,N71211,99998,Free,Both,"BLUE, RED",Rail,Port Authority Station,40.447801,-80.01834,38,0.000555486,-80.01780035,40.4479327
GATEWAY STATION,P70025,99991,Free,Both,"BLUE, RED",Rail,Port Authority Station,40.441701,-80.004132,32,0.000158318,-80.00397919,40.44174239
NORTH SIDE STATION,N71210,99999,Free,Both,"BLUE, RED",Rail,Port Authority Station,40.447495,-80.008946,65,9.68122E-05,-80.00901468,40.44756323
OVERBROOK JUNCTION,X70026,99901,1,Both,RED,Rail,Port Authority Station,40.365736,-80.027147,32,9.32983E-05,-80.02706907,40.3657873
SOUTH BUSWAY AT SOUTH HILLS JCT (IN),S42350,6095,1,Inbound,"39, 40, 41, Y1, Y45, Y46, Y47, Y49",Bus,No Shelter,40.421074,-80.006791,32,2.89764E-05,-80.00680896,40.42109674
SANDY CREEK,X14415,99945,2,Inbound,BLUE LIBRARY,Rail,No Shelter,40.296944,-80.030331,33,0.000203152,-80.03052818,40.29689511
SMITH ROAD,X14467,99941,1,Inbound,"BLUE, RED",Rail,No Shelter,40.356946,-80.028993,32,0.000261481,-80.02923984,40.35685973
BROADWAY AVE AT BELASCO,X02778,99990,1,Inbound,RED,Rail,No Shelter,40.407086,-80.026804,32,0.000112689,-80.02685498,40.4071865
BROADWAY AVE AT HAMPSHIRE,X02795,99988,1,Inbound,RED,Rail,No Shelter,40.410683,-80.024547,32,0.000120251,-80.02466428,40.41070956
PALM GARDEN,X70074,98879,1,Inbound,RED,Rail,No Shelter,40.416553,-80.011825,47,1.17356E-05,-80.01183666,40.41655167
BEAGLE,X13810,99982,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.300846,-80.031314,33,0.00017105,-80.03147999,40.30080471
HILLCREST,X14125,99964,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.345535,-80.028652,33,0.000206165,-80.02884597,40.34546513
KINGS SCHOOL ROAD,X14155,99962,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.308402,-80.033184,33,0.000132351,-80.03331322,40.30837338
LOGAN ROAD,X14230,99960,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.311582,-80.033048,33,0.000145673,-80.03318365,40.3116351
MESTA,X14280,99956,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.330802,-80.030692,33,7.9722E-05,-80.03077157,40.33079703
MUNROE,X14320,99952,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.322727,-80.029568,33,0.000114286,-80.02967178,40.32267914
SARAH,X14430,99944,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.31561,-80.029745,33,0.000169337,-80.02987198,40.31572204
SOUTH PARK ROAD,X14480,99933,2,Inbound,BLUE LIBRARY,Rail,Port Authority Shelter,40.327802,-80.030469,33,7.57807E-05,-80.03054452,40.32779576
BETHEL VILLAGE,X13850,99980,2,Inbound,"BLUE SOUTH HILLS VILLAGE, RED",Rail,Port Authority Shelter,40.344093,-80.046369,32,0.000132174,-80.04647796,40.34416781
