Direction,Name,Routes_Served,NEAR_Y,Routes_Sor,WalkScore,Shelter_Pu,Longitude,StopID,NEAR_DIST,Mode,NEAR_X,Latitude,NEAR_FID,Zone_,CleverID
Both,EAST BUSWAY AT PENN STATION A,9,40.44382563,"1, 6, 11, 15, 39, 40, 44, P1, P2",89,No Shelter,-79.992218,P01600,7.34992E-05,Bus,-79.99225647,40.443763,1,Free,5560
Both,EAST BUSWAY AT SWISSVALE STATION A,4,40.41529038,"59, P1, P3, P71",37,Port Authority Station,-79.878731,E17293,4.97112E-05,Bus,-79.8787131,40.415244,26,1A,16063
Both,LIBRARY STATION,2,40.2872392,BLUE LIBRARY,47,Port Authority Station,-80.021582,X14447,0.000169391,Rail,-80.02154037,40.287075,33,2,99942
Both,ALLEGHENY STATION,2,40.4479327,"BLUE, RED",58,Port Authority Station,-80.01834,N71211,0.000555486,Rail,-80.01780035,40.447801,38,Free,99998
Both,GATEWAY STATION,2,40.44174239,"BLUE, RED",99,Port Authority Station,-80.004132,P70025,0.000158318,Rail,-80.00397919,40.441701,32,Free,99991
Both,NORTH SIDE STATION,2,40.44756323,"BLUE, RED",70,Port Authority Station,-80.008946,N71210,9.68122E-05,Rail,-80.00901468,40.447495,65,Free,99999
Both,OVERBROOK JUNCTION,1,40.3657873,RED,63,Port Authority Station,-80.027147,X70026,9.32983E-05,Rail,-80.02706907,40.365736,32,1,99901
Inbound,SOUTH BUSWAY AT SOUTH HILLS JCT (IN),8,40.42109674,"39, 40, 41, Y1, Y45, Y46, Y47, Y49",48,No Shelter,-80.006791,S42350,2.89764E-05,Bus,-80.00680896,40.421074,32,1,6095
Inbound,SANDY CREEK,2,40.29689511,BLUE LIBRARY,29,No Shelter,-80.030331,X14415,0.000203152,Rail,-80.03052818,40.296944,33,2,99945
Inbound,SMITH ROAD,2,40.35685973,"BLUE, RED",49,No Shelter,-80.028993,X14467,0.000261481,Rail,-80.02923984,40.356946,32,1,99941
Inbound,BROADWAY AVE AT BELASCO,1,40.4071865,RED,54,No Shelter,-80.026804,X02778,0.000112689,Rail,-80.02685498,40.407086,32,1,99990
Inbound,BROADWAY AVE AT HAMPSHIRE,1,40.41070956,RED,52,No Shelter,-80.024547,X02795,0.000120251,Rail,-80.02466428,40.410683,32,1,99988
Inbound,PALM GARDEN,1,40.41655167,RED,24,No Shelter,-80.011825,X70074,1.17356E-05,Rail,-80.01183666,40.416553,47,1,98879
Inbound,BEAGLE,2,40.30080471,BLUE LIBRARY,35,Port Authority Shelter,-80.031314,X13810,0.00017105,Rail,-80.03147999,40.300846,33,2,99982
Inbound,HILLCREST,2,40.34546513,BLUE LIBRARY,57,Port Authority Shelter,-80.028652,X14125,0.000206165,Rail,-80.02884597,40.345535,33,2,99964
Inbound,KINGS SCHOOL ROAD,2,40.30837338,BLUE LIBRARY,47,Port Authority Shelter,-80.033184,X14155,0.000132351,Rail,-80.03331322,40.308402,33,2,99962
Inbound,LOGAN ROAD,2,40.3116351,BLUE LIBRARY,47,Port Authority Shelter,-80.033048,X14230,0.000145673,Rail,-80.03318365,40.311582,33,2,99960
Inbound,MESTA,2,40.33079703,BLUE LIBRARY,59,Port Authority Shelter,-80.030692,X14280,7.9722E-05,Rail,-80.03077157,40.330802,33,2,99956
Inbound,MUNROE,2,40.32267914,BLUE LIBRARY,45,Port Authority Shelter,-80.029568,X14320,0.000114286,Rail,-80.02967178,40.322727,33,2,99952
Inbound,SARAH,2,40.31572204,BLUE LIBRARY,39,Port Authority Shelter,-80.029745,X14430,0.000169337,Rail,-80.02987198,40.31561,33,2,99944
Inbound,SOUTH PARK ROAD,2,40.32779576,BLUE LIBRARY,63,Port Authority Shelter,-80.030469,X14480,7.57807E-05,Rail,-80.03054452,40.327802,33,2,99933
Inbound,BETHEL VILLAGE,5,40.34416781,"BLUE SOUTH HILLS VILLAGE, RED",26,Port Authority Shelter,-80.046369,X13850,0.000132174,Rail,-80.04647796,40.344093,32,2,99980
Inbound,CASSWELL,5,40.34935233,"BLUE SOUTH HILLS VILLAGE, RED",40,Port Authority Shelter,-80.033595,X13900,0.000172308,Rail,-80.0336269,40.349183,32,2,99978
Inbound,DORCHESTER,5,40.34023285,"BLUE SOUTH HILLS VILLAGE, RED",43,Port Authority Shelter,-80.048367,X14000,9.54933E-05,Rail,-80.0484422,40.340174,32,2,99972
Inbound,HIGHLAND,5,40.34844063,"BLUE SOUTH HILLS VILLAGE, RED",35,Port Authority Shelter,-80.039447,X14075,0.000158108,Rail,-80.03949505,40.34829,32,2,99966
Inbound,SOUTH HILLS JUNCTION STATION,2,40.42098213,"BLUE, RED",48,Port Authority Shelter,-80.006913,X14476,0.000206413,Rail,-80.00701014,40.4208,32,1,99935
Inbound,ST ANNE'S,2,40.3609429,"BLUE, RED",55,Port Authority Shelter,-80.029172,X14490,7.7273E-05,Rail,-80.0292458,40.36092,32,1,99931
Inbound,ARLINGTON,1,40.36989554,RED,68,Port Authority Shelter,-80.033224,X13800,0.000105902,Rail,-80.03329285,40.369976,32,1,99984
Inbound,BROADWAY AVE AT SHIRAS,1,40.40409178,RED,55,Port Authority Shelter,-80.030102,X02822,0.000123937,Rail,-80.03022066,40.404056,32,1,99986
Inbound,DAWN,1,40.41339293,RED,20,Port Authority Shelter,-80.01094,X13990,1.85189E-05,Rail,-80.01095781,40.413398,48,1,99974
